,content,num_like
0,"up主是我现实中的朋友 那天他喝醉了拉着我手说 把经典FC游戏的第一关都做一遍 2年内不用担心鸽视频了 以下是他要做游戏的顺序
赤影战士
人间兵器
恶魔城
兵峰
魂斗罗
魔界村
忍者龙剑传
忍者娃
忍者神龟
热血格斗
冒险岛
好了 就编到这里了",1810
1,八成不是一帧帧画的，不过有简单的几个素材，放到AE里面合成这些东西也比较轻松，制作没什么难度，就是比较耗精力和时间。UP的创意很棒，三连了。,218
2,维基解密：有个emu模拟器可以自定义高清图画，up主自己画了图像，然后导入rom，录了第一关游戏,449
3,"帮我出个logo
喜欢这个风格",3
4,不要拿黑白版真实的游戏来骗我[doge],234
5,听这音效跟整体的流畅和还原度，应该是模拟器换贴图,126
6,现在想想，这吉普绝逼是一群印度人在开,73
7,看到很多朋友觉得是模拟器替换贴图打的，我从一些技术角度觉得不是，如果是模拟器替换贴图那么相同的元素应该丝毫不差，但是拿开头的三棵树举例就不完全相同。up应该是把模型画完之后合成的图层，工作量十分巨大。,23
8,[笑哭]小时候和爷爷一起玩这款游戏，记得有一关太难一直没打过去[笑哭]有些遗憾啊,8
9,up主是我现实中的朋友，那天他喝醉了给我当场画了几部黄油玩，我很谢谢他希望up耗子尾汁，早点做出来下半部,74
10,一帖一笔画，大工程。UP牛逼[点赞][鼓掌][打call],1
11,纯路人！！刚申请的号，一进入b站就看见了这个up的视频，在这个人心浮躁的时代竟然还有这么优质的视频，很少见到这么优质的视频了！！泪目了，白嫖了，毕竟新人还没有硬币，下次一定！！,10
12,为什么子弹到不到你？操作怎么好？[笑哭][doge],1
13,真·Tas 逐帧操作[脱单doge],1
14,以前在步步高学习机上玩的[笑哭],1
15,我看傻了,2
16,大佬,1
17,厉害了,0
18,水墨色游戏挺好，只有分辨率和帧率够，也是很清楚的，还护眼…,0
19,我打这个就得必须火力满级，不是满级我直接读档从来[笑哭][笑哭],0
20,"可不可以这么理解

弟弟丹尼尔失踪，是女孩的心魔
这一切都是女孩的救赎
第一个结局，女孩进入小屋找到车钥匙，逃离杀人魔却被怪物吃掉，意喻女孩试图找寻内心，却依旧在逃避，最终还是被心魔吞噬

第二个结局，女孩在来到地下室，面对惨状和怪物依然选择逃避，虽然逃离出地面，但依旧永远的迷失，直到死（到地面时阁楼的照片或许可以理解成线索？）

第三个结局:女孩杀死了杀人魔，解开了心结，见到了弟弟，弟弟告诉她所有的痛苦都会结束，并告诉女孩“我爱你，姐姐”或许意味着女孩的心魔解除，最终结局的名字“再见，丹尼尔”或许也是这个意思

而我个人的理解偏向把『怪物』理解成负罪感，把『绷带杀人魔』理解成女孩的恐惧

当结局一女孩因为杀人魔『恐惧』逃离时，怪物『负罪感』会杀死女孩

结局二女孩都不愿面对时，她最终迷失了

结局三时，女孩击倒『恐惧』时，『负罪感』会帮助女孩伤害杀人魔，最终『负罪感』的怪物会把杀人魔杀掉，或许可以理解成女孩心中的负罪感最终消失，她战胜了恐惧，解开了心结

而开头的小男孩堆沙堡，碰见警察或许可以理解成，女孩小时候跟弟弟丹尼尔堆沙堡，玩捉迷藏，结果导致弟弟失踪被杀，女孩对当时经历中看见的东西感到恐惧（警察，树林等）也可以解释为什么在杀人魔的小屋里可以找到警察制服（？）",4675
21,"还有隐藏结局
隐藏一：
可以来到后院 有一片空地 在那里等着 会有UFO把你吸走 来到UFO里边 会发现一只狗子是UFO的站长（很想像cheems）之后就被狗子救了
隐藏二：收藏所有的硬币 交给那个在蓝门里的手 他会热情地让你进来 进来后发现他很孤独 一个人在玩游戏 于是你坐下陪他一起玩
顶我上去吧 兄弟们[脱单doge][大哭]",2726
22,"看见这像素，我回味一下，然后提起刀，追着UP催更湖边小屋。
兄弟们我做的对吗？[doge]",2378
23,"感觉…好多地方还是没有道明，留白很多，比如警察的身份和阁楼上的女人到底是什么
我希望这不仅仅是一个充斥着杀戮的游戏，来一个大神把一切穿起来试试[捂脸]
反正我的脑洞还不够支撑我串起一切，不懂的地方统统以噩梦处理[OK]",1062
24,"高能：
0:36笑声
1:29黑影
1:59眼睛
2:32血迹
3:17追赶
。
。
。
编不下去了[妙啊]",715
25,"说一下关于视频游戏比较合理的推理解释吧。
游戏本体的留白过多且缺乏文字剧情补充，所以接下来的内容都是咱大概脑补了一下所写的，仅供参考。
先从游戏结局开始推理吧。游戏结局一共有三个。1.开车逃离，但失败，被空中如同蠕虫一样的只有嘴巴的巨型怪物所杀。2.逃出小屋，但在森林之中迷失。3.见到了死去的弟弟丹尼尔，逃出生天。
除此之外导致女主克莱尔死亡的就是在屋中被绷带杀人魔所杀。
以上是游戏的四种结局。除了好结局之外，其他三种结局的共同点几乎都是以女主死亡为结局（迷失结局中最后应该也是被巨型怪物杀掉了，并没有老死的相关提示或表现，大概率是被杀了）。关于死亡我们可以做出两种大方向的解释：1.肉体死亡，女主确实经历了这些怪异事件。2.精神死亡。女主经历的一切并非真实。
在好结局中，女主并没有看见弟弟的正脸。但是能听见模糊的声音。以及那一句恐怖游戏经典台词——姐姐（XX），我爱你。而触发这个结局的条件是探索地下室得到线索后探索阁楼，进入隐藏房间，最后才能见到死去的丹尼尔。隐藏房间的布置相当掉san且游戏中并未提出关于宗教/仪式/魔幻的元素。所以基本可以断定游戏本体的经历应该是女主的幻想或者是梦。至于现实中的女主如何暂不可考察。初步推断在死亡结局中女主现实的肉身应该会变成脑死亡的植物人。所以游戏的故事应当是女主的幻想/梦+曾亲身经历的事件。
接下来我们再把眼光放到故事开头来。",474
26,但凡这些游戏boss亮出血条我磨也能磨死,202
27,我感觉这是所有结局的意思了 结局总结：C结局：没有逃跑 （开车到没油 最终死于那个怪物） B结局：迷失 （没有逃出 最终迷失在森林直到死去） 结局C：再见，丹尼尔 （好结局 女孩存活 见到丹尼尔）,351
28,姐弟俩在放学回家的道路上前往公园里新开的画像馆玩耍，此时突然遭遇了地震。姐弟俩被压在废墟之下，弟弟首先失去知觉。。姐姐的躯干被重物压住，头颅可以转动。她可以透过破损的外墙看到远处警车旁束手无策的警员和废墟内损坏的艺术品以及其他游客破碎的肢体尸骸。旁边稀疏的树丛也仿佛变成了走不出去的森林。弥留之际，姐姐眼前出现了一只螳螂（杀人魔），张牙舞爪向她的脸上袭击过来，它并不知道自己头上还有吊灯的一枝，如同巨型怪物摇摇欲坠威胁着下方所有的生命。。弥留之际的姐姐把自己看到的一切编织成光怪陆离的梦境。。就像弟弟把死神臆想成请君入瓮推倒沙堡的孩子。。[大哭][大哭]。。即使在半梦半醒濒死之间，姐姐没有放弃任何求生的希望。然而最后她开启的也只是天堂之门[大哭][大哭]对不起我编不下去了滑稽保命[doge][doge][doge]（据说曾有地震中被压在两块预制板之间的少年梦到自己在房间里学习时喝了一瓶增高保健口服液，然后自己身体体积迅速膨胀，房间无法容纳，导致被挤困在狭窄的房间里。可见濒死想象不能小看[doge]）,28
29,《瘟   腥   致   郁》,229
30,"可不可以这么理解

弟弟丹尼尔失踪，是女孩的心魔
这一切都是女孩的救赎
第一个结局，女孩进入小屋找到车钥匙，逃离杀人魔却被怪物吃掉，意喻女孩试图找寻内心，却依旧在逃避，最终还是被心魔吞噬

第二个结局，女孩在来到地下室，面对惨状和怪物依然选择逃避，虽然逃离出地面，但依旧永远的迷失，直到死（到地面时阁楼的照片或许可以理解成线索？）

第三个结局:女孩杀死了杀人魔，解开了心结，见到了弟弟，弟弟告诉她所有的痛苦都会结束，并告诉女孩“我爱你，姐姐”或许意味着女孩的心魔解除，最终结局的名字“再见，丹尼尔”或许也是这个意思

而我个人的理解偏向把『怪物』理解成负罪感，把『绷带杀人魔』理解成女孩的恐惧

当结局一女孩因为杀人魔『恐惧』逃离时，怪物『负罪感』会杀死女孩

结局二女孩都不愿面对时，她最终迷失了

结局三时，女孩击倒『恐惧』时，『负罪感』会帮助女孩伤害杀人魔，最终『负罪感』的怪物会把杀人魔杀掉，或许可以理解成女孩心中的负罪感最终消失，她战胜了恐惧，解开了心结

而开头的小男孩堆沙堡，碰见警察或许可以理解成，女孩小时候跟弟弟丹尼尔堆沙堡，玩捉迷藏，结果导致弟弟失踪被杀，女孩对当时经历中看见的东西感到恐惧（警察，树林等）也可以解释为什么在杀人魔的小屋里可以找到警察制服（？）",49
31,我觉得小c6的风格好像都是那种看上去很可爱然后实际恐怖游戏的取向[妙啊],119
32,知道为什么小c做游戏推荐能维持那么久么？不仅仅是质量好，最主要推荐时会带上游戏名[OK],4
33,泪目了，作为哥哥的我曾经在和弟弟玩捉迷藏时由于我没看住他而让他跑到了马路上，结果他骨折了，至今那次捉迷藏还是我最后悔的事,3
34,玩到中途出现买属性 [热词系列_好家伙]直接玩成贪玩蓝月,2
35,白天刷不到，晚上躲不掉[辣眼睛],31
36,众所周知，给我一把枪，再给我足够的子弹，恐怖游戏将不再恐怖。[doge],2
37,封面还以为湖边小屋更新了[doge][doge][doge],87
38,这一家子都这么勇吗？为什么不一起？非要一个个送呢，举报了，举报了[doge],3
39,"C酱不直播吗. 
什么时候也开新坑啊
比如玩点恋爱游戏? [doge]",5
40,屮，同一个游戏，隔壁老番茄那边还好好的，怎么到你这里就只剩bug了[热词系列_知识增加],2848
41,"隔壁各家耍这游戏都好正常，到这怎么成了这样哈哈哈哈哈
这就是传说中的吸bug体质嘛[笑哭]笑得我这个打假赛的都要提前倒下了[doge]",1311
42,我觉得现在的镖客挺好，17年11月在网易云上第一次看镖客，那时就很喜欢黑镖客的不太硬核的科普和选曲风格，偶尔穿插的骚话也让视频充满趣味，后来感觉一段时间的视频就像空讲骚话，那一时期的视频我是感觉有点没意思的。不过感觉现在的镖客很有自己的风格，剪辑的也很棒，希望镖客能继续进步下去。,337
43,求硬币收藏呀各位粉丝朋友们,2419
44,视频使用荒诞幽默的艺术风格，观看者以一只拥有人类智慧，拥有人类技术的浣熊的视角，目睹了家族文明在失去至救援的过程，在欢快弹幕中结束了视频。然而在现实中会是这样吗？事实上，这样一只聪明灵巧的浣熊并不会出现，而同样的事件却会发生，不会有欢声笑语，浣熊们必定会又一个悲惨的结局，在对比的讽刺中，作者保护野生动物的视频目的昭然若揭，表达了作者对人与自然和谐共生的迫切向往,634
45,这期标题13个字，而黑镖客名字是5个字，13-5=8，所以八号打假赛提前倒下[doge],1279
46,你是不是和某个圆圆的红色的还有绿帽子的up约好了[doge],504
47,我要和黑镖客🤺 顶我上去[doge],986
48,我们b站用户都有一个神秘收藏夹——“安慰up主收藏夹”[狗子],413
49,"教你们白嫖：
第一步，关掉WiFi，用流量打开视频，不要点播放；
第二步:点击左上角三个点然后点缓存，缓存开始后立刻点暂停，接着打开缓存页面连接上WiFi继续下载；
第三步:看完视频，删除。
别说点赞投币收藏了，连播放量都不会加

最后up主制作不易，大家给我点个赞吧[doge]",18
50,"没人发我先发个[脱单doge]
这是这就是街舞的早期视频，因为某种奇怪的原因禁了谢谢🙏🙏嫖客让👴重新看到[脱单doge]",17
51,《关于黑镖客转生（BUG）成为干脆面后为了救同伴与空气斗智斗勇开始骚操作（卡BUG）那件事》,124
52,@干脆面Official,5
53,八号super面筋人提前倒下[doge],107
54,"/ ￣￣￣＼
|　 I    I     |  / ￣￣￣￣￣￣￣￣￣￣￣＼
\      ▱     /                没错同志                \
 ＼       イ  \      就是这个视频 下面一堆粉 /    
  ／        ＼        丝整天扒拉扒拉的           /
  /   　      \    \ __________________ /
/                 \",74
55,芜湖,2
56,"我们生活在大地上，可我们的梦想超越天空。—核武器函数
用人话说：我想上热评",216
57,[微笑]建议改成：Dance Tonight,2
58,彦祖还是改不了看评论随手赞的习惯[抠鼻],136
59,看着屁股痛[妙啊],9476
60,爹你怎么打开评论区了,44
61,这边看徐大虾当警察，刚出去就刷到老坛入狱了的视频[辣眼睛],3171
62,为无辜的路人献上鲜花[doge],1243
63,"徐大虾的2021计划计数
大虾的2021计划 ：5/70
距上期视频相隔时间：10天",3624
64,噢亲爱的老徐，为什么不试试在跑步机上玩这个游戏呢？,1812
65,"《黑色洛城(LA Noire)》是由Team Bondi开发的一款动作冒险类游戏，于2011年5月17日由Rockstar Games负责发行。

《黑色洛城:重制版》在17年11月14日登陆NS、PS4、Xbox One和HTC Vive。

游戏以1940年后半美国都市洛杉矶为背景的警匪侦探类动作冒险游戏。玩家将在游戏中扮演刚从二战军旅生涯复员的主角Cole Phelps(科尔·菲尔普斯)，进入洛杉矶市警暑担任刑警，奔波于各式各样的犯罪现场，解决繁华洛城层出不穷的犯罪事件。《黑色洛城》已在PS3、XBOX360两个主机平台上推出。",1161
66,警官检查犯人身体的时候发现下半身大范围通红，并且受伤痕迹明显[辣眼睛][doge],275
67,《关于我为了看大虾视频，放弃吃面，结果面坨了我得重新去煮那件事》,728
68,小时候，妈妈因为我不写作业就打我，我说，徐大虾更新我就写。笑死，根本不用写[doge],418
69,我很好奇那个女尸体长啥样的,110
70,"／ ￣￣  ＼　 
|　ー　ー  \　 ／￣￣￣￣￣￣￣￣￣＼
|　 X   　X  |　/   徐大虾，                    \
\　　 ▱　/ ∠       你已经好多天没更新了   /            
  ＼　　 イ　   \  生产队的驴都不敢这么歇 /
／　　　＼　    \_______________/
/　|　　　 \ \　
|　|　　　  | |     
|    |         | |",47
71,你看这个B。。。。。。up主又来录VR了/,6
72,一开始我是不同意他出院的，但是他太帅了[脱单doge],189
73,老坛你抓的吗[doge],87
74,各位打开粘贴板的样子真狼狈,453
75,刚睡,755
76,"▬▬▬▬.◙.▬▬▬▬
    ▂▄▄▓▄▄▂
◢◤ █▀▀████▄▄▄▄◢◤
█ 白嫖专用逃跑机[doge] █▀……╬
    ◥██████◤ 
  ══╩══╩══",5
77,徐大虾，2021年能接着2020年完成2020年没完成的部分吗？,220
78,徐大虾跟我共用一个开塞露[doge][doge][doge][doge],5
79,最后飘过去一个说水龙敬乐园的就离谱[微笑],205
80,我突然想起一件事，小索要是当年把手里的比特币嗯着不卖，现在说不定真能反手买下stn[辣眼睛],2155
81,哎，明天还要上班，好烦啊[tv_目瞪口呆],4571
82,cdpr：本来还想以平凡人的方式与你们相处，换来的却是梳理。不装了，摊牌了，我更新了30g[OK],49
83,每次看到新人一上来就说我要去米x游 我要做大作 我要做xx荣耀那种的话题 我总会情不自禁的笑出来 当然 这个笑不是嘲讽的笑 只是感觉充满斗志是真的很棒 不过有斗志 有方向是好的 接下来慢慢积累经验 人脉 才是最重要的 仅凭一人之力是做不到一切的 因为制作游戏是一套流程 能够精通这套流程内所有内容的人 少之又少 所以如果你真的想参与大工程 大项目 先在这条流水线上精通一职 然后在这个职位上做一段时间 积累你的经验 你的人脉 你的伙伴 这样 你未来才有能力 和他们一起 创造你自己心中的GTA 成立你自己的米x游 愿你在这条路上勇往直前 愿所有真正的游戏人一帆风顺,639
84,"如果身处软件开发圈子基本就明白这是怎么回事了，看来这个游戏当初的核心开发人员基本已经走干净了。当初为了赶进度项目管理基本没做，各种自杀式走捷径，到那说明文档那更不可能有。导致后面来的人根本看不懂代码。随着当初那批程序员走干净之后，新来的新人是完全不可能马上接上这些工作的。但是补丁还得上，游戏宣发部门也不能闲着，就随便弄点能弄的凑合来吧。
说实话一般一个软件项目到这个地步基本等于死了，这套代码已经混乱到当初开发的人都看不懂了，除非重写基本没有救回来的可能",696
85,cdpr：没想到吧，连更新我也要背刺你[滑稽],82
86,这期整活让👴🏻非常失望，我以后再遇到想三连的视频则会放弃三连一次[doge],2816
87,多娜多娜周四出subverse周五出，这明显就是在背刺周六更新的ntr快报[doge],1943
88,"7分17那里不是我的视频么[OK]
BV1eW411g7A5 19分10秒[doge]",507
89,在西藏吧，在哨所上的时候 每天起来看日出 真的很美[微笑],128
90,景色？应该是我在八年前，没有攻略，靠着自己一点点把刀剑神域无限瞬间打通的结局CG里桐人和亚丝娜拥抱的黄昏吧，他们两人的拥抱甚至盖过了太阳的光辉，照耀了我的童年，让我爱上了acg。好想回到那个无忧的夏天，坐在电脑前，吃着雪糕，再次跟屏幕里的桐人用着没人能听懂的发音喊出星爆气流斩啊……,692
91,这周发布的游戏是挺伤身的我说的是熬夜打怪物猎人,1245
92,想不到吧，CDPR又骗了你一次，这次1.2版本真不是4个更新，而是整整30个G的补丁[热词系列_好家伙],11
93,感觉游戏厂商真的是在比烂，这一期就提了三个cdpr育碧ea，但他们不管怎么作死都还是销量很好，除此之外还有很多，比如我最讨厌的2k，把2k21做成一坨屎还卖的超级多。,640
94,CDPR发版本更新说明了，他们真的不是只更新了4个东西[doge],16
95,没人提泰坦陨落2时停那部分吗，当时我人都傻了，截了20张左右的图,217
96,塞尔达荒野之息里那棵超大樱花树！！！！夕阳下贼好看啊啊啊！！！！,366
97,2077  1.2版本修了不止这点bug，这期快报就别在这里阴阳怪气的了[辣眼睛][辣眼睛][辣眼睛],7
98,你以为你在输入验证码，其实你是在免费帮他们训练AI，工具人,230
99,"本人剑修。
不曾开过作弊器，一路上勤勤恳恳耐心肝。在元婴后期已停步二十年有余，如今有幸窥得化神天机，探寻成仙迎难而上！！

WDNMD！！根本打不过！！！
风灵月影！！！！！！
启动！！！！！！！！",911
100,建议红功法像小说一样分残卷，上中下三册，例如上册练完是筑基期，找到中册可以把功法提升到结晶水准,15205
101,"我就是想反应下：
(1)化神登神梯BUG不少，回去用身法可以多拿一次碎片，5个魂根本没有触发效果(我都硬打完12层)，steam评论h区还有一大堆。
(2)一般化神太硬核了，不然就要跟我一样，在元婴磨十几年全红都差点没打过。
(3)化神后升悟道，那个界太离谱了，我2.4w满血704的防进去(第三层)，雷霆连续劈十几下一次1000多。进去就被秒(这一般难度？)
(4)能不能不要这么肝了？真受不了，而且本身一单机游戏本身就是用来爽的，你为啥要削弱。游戏发展方向有问题又不是完东方和魂类游戏。
(5）你们游戏的优点是剧情新颖游戏爽快不硬核。偏向休闲刷刷刷。你削弱玩家强度同时，又加强BOSS难度，这样玩家没了爽点和快感并不好。这样你们设计游戏洪荒模式有什么意义 ？
(6)建议先开创意工坊
我都等他3小时都没回我，我直接发在评论区里，xdm顶我上去[辣眼睛][打call]",1141
102,"我看你天赋异禀，我就送你一本:
                          ┏┳━━━━━━━━━━┓
      ┣┫██████████┃
      ┣┫██████┏━┓█┃      
      ┣┫██████┃风┃█┃
      ┣┫██████┃灵┃█┃       
      ┣┫██████┃月┃█┃                                    
      ┣┫██████┃影┃█┃ 
      ┣┫██████┗━┛█┃ 
      ┣┫██████████┃                  
      ┗┻━━━━━━━━━━┛",29
103,"我鬼谷八荒闻名遐迩，制作人功法更是冠绝于世[doge]
赞同      反对",10622
104,感觉太过和平，和谐，为什么没有元婴老怪夺舍，打败别人除了杀掉，就没别的玩法吗？吸干精气，抽掉魂魄祭炼法宝炼邪功啥的，[doge]采补也不错啊，我合欢宗大掌门不喜欢自愿投身的家花🌸，还是野花香，在外面采朵花不过分吧[doge]，兄弟们顶上去，让张三看看我们魔道中人最真挚的诉求[doge][doge][doge],7597
105,"以下就是3.27更新内容：
修复了玩家玩的爽的BUG
修复了steam好评如潮的BUG
修复了非M玩家也能玩舒服的BUG
修复了玩家可以修炼成大佬的BUG
修复了玩家不会被秒杀的BUG
修复了怪物血量和攻击少了十几倍的BUG",201
106,"/ ￣￣￣＼　 
|　ー　ー \　 ／￣￣￣￣￣￣  ＼
|　 ◉　◉ |　/           [热词系列_张三]            \ 
\ 　 ▱　  / ∠       再不削难度            |
  ＼　　イ　   \ 老子要拜入风灵宗了／
  ／　　 ＼　    \________________/
/　|　 \　\　
|　|　　|　| 
|　|　　 |　|",304
107,"今天兴高采烈的迎接更新
一进去封面换了，可以
一进城，背景换了，可以
材料不能用了，没关系，就重新打一下就好了，之前打的也能用上。
打重明我自闭了，贴吧看方法，死了四五次，没关系，方法对了还是可以过的。
打天梯，tmd我花几十万买了药，还是只能嗑五颗，可以，我菜，我不求全房间，省着嗑药打过boss化神就行。
我现在化神后期在道界打到第三层又没药嗑了，非要逼人把化神全技能配齐才配去道界？然后马上悟道，化神的技能又可以全丢了呗？
看看我现在的时间，凌晨四点了，下午2点过开始肝，真tm修仙游戏，我就想玩个普通难度爽一下完事，需不需要让玩家先打几千个小怪然后死在精英怪手上？
削技能我不讲啥，元婴期全顶级技能词条普通难度boss面都见不上真的过分了
洪荒地让他们去洪荒吧，考虑下我们这种简单难度就图一乐的玩家吧",158
