,content,num_like
0,封面游戏是无尽之剑。说一下这个优秀游戏的下场。连公司一起被tx收购，然后搞出了一个国内特供版，后来玩家不买账，于是爆死，于是不了了之[怪我咯]鹅厂有钱，亏得起。可玩家的热情耗不起[歪嘴],9415
1,敖厂长有一句话听得我有些哽咽，健康的游戏市场应该是百花齐放的，而不是一家独大翻手为云覆手为雨，曾几何时我们国产的游戏也呈现着蓬勃发展的样子。身为一位老游戏玩家确实还是有些感慨的，现如今一个光污染模型能够卖到几百上千，身为玩家的我们有着不可推卸的责任,2218
2,"内购的，尤其是抽卡那种的，我觉得这营销模式太可笑。
就好比本来16块可以吃一碗牛肉面，结果商家先白给客户免费的一碗白水煮面，配料要靠氪金抽，一块钱抽一次，50%的几率可以抽到盐，30%的概率抽到葱花，10%的概率抽到牛肉汤，1%的概率抽到一块牛肉。
最后花了1000吃到了完整牛肉面的大佬，向吃着盐水煮面，葱花面，和牛肉汤面的人炫耀自己的牛肉面，这些人也向他们投去了羡慕的目光，并期待自己下次可以幸运一些抽到自己想要的配料。更有幸运的人花了50就吃到牛肉面，并向一个吃着盐水煮面，旁边还放了50袋盐的人投去了鄙夷的目光“呵，非洲人”。
但他们都忘了，这碗面本就值16。",4321
3,"冲得起648的家庭不会吝啬于一个300的单机
喊着单机游戏贵的人大多数玩手游也是白嫖
班里买台switch只玩宝可梦的现在是原神里648充的最多的
我这种只买的起月卡的现在ps4也就每月领个会免
掏不掏这个钱主要看你对于娱乐产品的消费能力
动不动一个648的人指不定也是去趟夜店就开黑桃a的主，搁人家来说玩手游说不定都算是勤俭持家的娱乐
各玩各的就对了，有空想着帮有钱人省钱不如多想想自个儿怎么赚钱
自己搬砖的命还操着皇帝的心",518
4,"艾希，蜡烛人，去月球，帕斯卡契约，迷失岛，如果可以早一点回家，破门而入，海姆达尔，无人生还，这是我的战争，双子，Bad North，王国保卫战，去月球，逐光•启航，死亡细胞，铁锈战争，月圆之夜……
如果可以的话，看看吧，就当支持一下游戏界了

你以为手游和端游关系不大？当手游的某些氪金操作很赚钱的时候，端游就会大量模仿，从而导致整个游戏界的噩梦",176
5,看结尾敖厂长说有什么样的玩家市场就有什么样的游戏市场，结果一堆弹幕：怪我咯？   我想说这都理解不了吗，敖厂长的意思难道不是让我们抵制工序化的换皮游戏吗？怎么就怪你了，你能代表玩家市场吗？意思是你都在玩氪金抽卡游戏很自豪不是？,2726
6,我觉得应该把抽卡氪金类游戏分类到电子赌博里，直接剔除这类运营模式,1851
7,"[吃瓜]发现一个评论区奇怪的点
说到氪金游戏默认就只有原X，然后说到氪金游戏的垃圾部分就直接以原X代表了。然后因为这个游戏又不是那种“烂的”氪金手游，然后就会有人过来指正，然后就吵起来了。[吃瓜]
我说我怎么奇怪这个视频明明是讲无尽之刃的怎么就带到其他地方去了。",707
8,众所周知，原神是唯一一款抽卡手游[doge],309
9,"个人认为14，15年是手机单机游戏最后的辉煌。
智乐代表作：近地轨道防御三部曲，现代战争前四部，地牢猎手前四部，狂野之血，蝙蝠侠，超凡蜘蛛侠，六发左轮，生死九毫米，狂野飙车5678，背刺等等等等太多了
育碧：海盗奇航（黑旗纯海战手机版），刺客信条本色，勇敢的心世界大战等
EA：真实赛车3，手机版叛逆连队（剧情不一样），极品飞车系列，死亡空间（剧情有关联）质量效应（剧情独立），FIFA等
有个GLU的厂商可能知名度不高，我称其为专业站桩游戏设计厂商[OK]，但是有些游戏玩着还是挺不错的。
还有其他厂商众多佳作，诸如使命召唤（好像是大锤的，剧情独立），SE的杀出重围陨落，聚爆（当时画面游戏手感相当惊艳）等等不乏画面剧情游戏性的手游3A。
反观现在出的都是些什么东西？一堆氪金卡牌挂机游戏。14，15年之后，智乐受商业冲击人员流失几近残废，育碧几乎放弃了手游的开发，EA手游现在还在更新维护的只剩真实赛车3。不仅感叹时代已去，当年带给我莫大惊喜的单机大作时代一去不复返了。
最后还是感谢那些陪伴我学生时代的手游大作带给我的欢乐，同时祝TX，390之类的“国际大厂”早日豹毙。",1699
