,content,num_like
0,有什么样的神就会有什么样的修女[辣眼睛],31140
1,"建议日配演示直接这么来：
我的名字叫罗莎莉亚，今年33岁。住在蒙德北部的大教堂一带，未婚。我为风神教会服务。每天都不加班直接回家。我不抽烟，酒仅止于浅尝。早上7点睡，每天要睡足8个小时。睡前，我一定喝一杯早餐酒，然后翘掉20分钟的晨祷，上了床，马上熟睡，一觉到天黑，决不把疲劳和压力留到晚上，芭芭拉都说我不正常。
[doge]",22536
2,我不可以不出，但是给我点赞的，一个十连3个公子外加2个修女！,8570
3,起初刚看到罗莎莉亚的时候有些人觉得罗莎莉亚不是什么好人，外表和行为都和教会截然相反，现在看这标题，这完全是风神巴巴托斯的忠诚的信徒啊，贯彻落实摸鱼的信念，把摸鱼进行到底[doge],6955
4,甘雨天天加班啥变化没有，罗莎莉亚从不加班却有黑眼圈，这说明什么？996是福报啊[tv_目瞪口呆],18550
5,"／ ￣￣ ＼　 
|　ー　ー \　 ／￣￣￣￣￣￣￣＼
|　 ◉　◉ |   |　  这里是罗莎莉亚一    \
\　　 ▱　/ ∠     键兑换系统       / 
 ＼　　 イ　 \ ________________/
／　　　\
/　|　　　 \ 
|　|　　　 | |
是否使用一个纠缠之缘兑换罗莎莉亚？
是              否
↓              ↓",13592
6,"我看到这个角色到第一时间就要打电话给我朋友:“原神出了个一脸煞白的角色。”

他那边比较吵 不知道是在干什么 

几分钟后 他看完pv回来跟我说:“新出的角色不是叫罗莎莉亚吗？哪来的伊丽莎白。 ”[无语]",10275
7,你和甘雨打一架吧[doge],19921
8,"打南边来了个萝莎莉娅，手里提拉着五斤布洛尼亚。
打北边来了个罗莎莉亚，腰里别着个可可利亚。
南边提拉着布洛尼亚的萝莎莉娅要拿布洛尼亚换北边别可可利亚罗莎莉亚的可可利亚。
罗莎莉亚不愿意拿可可利亚换萝莎莉娅的布洛尼亚，萝莎莉娅非要换别可可利亚罗莎莉亚的可可利亚。
萝莎莉娅抡起布洛尼亚抽了别可可利亚罗莎莉亚一布洛尼亚，罗莎莉亚摘下可可利亚打了提拉着布洛尼亚的萝莎莉娅一可可利亚。
也不知是提拉着布洛尼亚的萝莎莉娅抽了别可可利亚罗莎莉亚一布洛尼亚，还是别可可利亚罗莎莉亚打了提拉着布洛尼亚的萝莎莉娅一可可利亚。
萝莎莉娅炖布洛尼亚，罗莎莉亚嘀嘀哒哒吹可可利亚",5000
9,"她是冰系，她也是冰系
她身材曼妙，她也身材曼妙
她性子柔，她性子暴
她爱加班，她厌加班
[热词系列_好耶]我磕到了",8768
10,"大割葛。为什么驴人众不过风化节

旅行者：傻孩子下次火化节让他们去
[doge]",881
11,"罗莎一个E到甘雨脸上，“凭什么加班”
甘雨一个E逃开，“不行我得加班”
罗莎一个E到甘雨脸上，“凭什么加班”
甘雨一个E逃开，“不行我真得加班”
…………",6632
12,你这什么游戏啊？你们这是真是害人不浅呐你们这个游戏！整天都是美女萝莉！麻烦你们真的太过分了你们搞这个游戏，搞的我家小孩不得不玩女人！他要小正太好吧小正太…,766
13,"国外没有996，所以，罗莎莉亚不加班。
中国有996，所以，甘雨加班。",2051
14,"[崩坏3_星星眼]叫我吗叫我吗？!
[崩坏3_无辜]原来不是啊......",1950
15,"璃月：加班千年甘雨
         唯一夜叉魈
         荡涤四方钟大爷
蒙德：不干正事巴巴托斯
          绝不加班罗萨莉亚
          拆迁大户可莉
          不知道在干嘛凯亚
我直接实名心疼琴团长",6366
16,"今天，我重登了一下我的号。
突然，我发现号里有胡桃，她使用着长柄武器，冲刺时会短暂消失同时还会有蝴蝶。
而且战斗胜利后她还会讲：
布洛妮娅姐姐，还满意希尔的表现吗？
哈哈哈",7776
17,"／ ￣￣ ＼　 
|　ー　ー \　 ／￣￣￣￣￣￣￣＼
|　 ◉　◉ |    |   亲爱的原神，         |
\　　 ▱　/ ∠    可以加强安柏和 / 
 ＼　　 イ　      \ ____主角吗___/
／　　　\
/　|　　　 \ 
|　|　　　 |丨",972
